,CPI,CPIXFE,S,RS,CPI_RW,RS_RW,REM,MB
2005M07,42.10357353,141.67673,7.59,3.05952381,82.176,3.31,245.8,18929.6
2005M08,42.25571199,142.1315,7.59,3.336956522,82.243,3.63,241.9,18256.2
2005M09,42.61368484,142.85321,7.62,3.613636364,82.425,3.93,241.6,18528.5
2005M10,43.36244472,144.02336,7.68,3.75,82.662,4.02,278.2,19466
2005M11,43.38034336,144.79004,7.61,3.840909091,82.873,4.03,265.6,19087.5
2005M12,43.36244472,145.52367,7.61,4.113636364,82.959,4.09,271.6,21142.5
2006M01,43.75621486,147.42,7.62,4.25,83.145,4.47,248.9,21155.4
2006M02,43.74428243,148.13472,7.61,4.25,83.279,4.52,254.8,20922.8
2006M03,43.95608303,148.85318,7.62,4.25,83.509,5,289,21110.9
2006M04,44.31703899,149.56708,7.59,4.275,83.764,4.86,284.4,21519.35
2006M05,44.59446795,150.11261,7.58,4.5,83.974,5.05,361.4,22026.1
2006M06,44.85996448,150.72707,7.61,4.579545455,84.186,5.05,310.1,21924
2006M07,45.06579887,151.3424,7.58,4.785714286,84.268,5.31,302.9,21940.6
2006M08,45.21197112,151.82812,7.58,5,84.44,5.31,332.9,22605.29
2006M09,45.04193401,152.19937,7.61,5,84.573,5.34,293,21846.6
2006M10,45.03298469,152.66963,7.61,5,84.726,5.31,338.4,24676.4
2006M11,45.2895319,153.17325,7.61,5,84.766,5.31,294.7,22866.1
2006M12,45.87422089,154.00319,7.6,5,84.88,5.17,299.3,25537.7
2007M01,46.47979163,155.75664,7.68,5,85.224,5.33,287.1,25084.5
2007M02,46.64087941,156.76083,7.7,5,85.408,5.41,271.9,25350.5
2007M03,47.04359888,157.741,7.69,5.022727273,85.494,5.3,327.6,25495.3
2007M04,47.15397384,158.3836,7.66,5.285714286,85.616,5.29,333.6,24833.5
2007M05,47.03166644,158.86218,7.64,5.5,85.717,5.28,392.9,25358.7
2007M06,47.24346705,159.57806,7.68,5.5,85.859,5.31,356.5,26172.4
2007M07,47.58354126,160.4748,7.68,5.5,85.988,5.28,381.2,26750.7
2007M08,48.01907489,161.44832,7.66,5.5,86.116,4.96,381.4,25927.6
2007M09,48.34423357,162.22974,7.7,5.525,86.351,4.58,326.8,26372.5
2007M10,48.50830446,163.00113,7.72,5.75,86.576,4.6,391.2,26541.9
2007M11,49.42411834,164.28209,7.64,6.011363636,86.746,4.66,340.8,25914.2
2007M12,49.88649994,165.49956,7.63,6.285714286,86.92,3.06,337.4,28437.9
2008M01,50.37871261,167.78448,7.7,6.5,87.093,3.22,314.6,27588.7
2008M02,50.72773614,169.34294,7.72,6.5,87.178,3.01,318.3,26936.4
2008M03,51.32435755,170.82788,7.64,6.535714286,87.349,2.51,340.5,26584.8
2008M04,52.04328637,172.19429,7.54,6.75,87.4,2.37,385.3,26475.7
2008M05,52.78906314,173.67989,7.43,6.75,87.559,1.98,398,25910.5
2008M06,53.64819798,175.2335,7.49,6.75,87.76,2.47,384.3,26611.7
2008M07,54.31939707,176.95319,7.44,6.880434783,87.918,2.09,409.7,26613.4
2008M08,54.59085982,177.91626,7.41,7.25,88.026,1.94,373.5,26992.6
2008M09,54.50733282,178.82147,7.46,7.25,88.116,2.03,371.8,27041.8
2008M10,54.77879557,179.94048,7.53,7.25,87.991,0.22,367.7,26908.7
2008M11,54.78476178,180.79384,7.64,7.25,87.952,0.52,311.7,27296.4
2008M12,54.57594429,181.27634,7.71,7.25,87.909,0.14,339.3,28639.9
2009M01,54.34922815,182.26933,7.86,7.227272727,87.882,0.23,290.2,27076.9
2009M02,54.02406947,182.67946,7.95,6.95,87.952,0.22,282,26920.4
2009M03,53.88982965,183.0179,8.08,6.454545455,88.015,0.16,344.1,27259.1
2009M04,53.92861005,183.3522,8.09,6.113636364,88.211,0.2,339.7,28178.9
2009M05,54.00020462,183.777,8.1,5.75,88.279,0.19,332.6,28382.5
2009M06,53.97932287,184.17564,8.13,5.545454545,88.392,0.22,348.6,28701.4
2009M07,54.15532618,184.65747,8.18,5.206521739,88.468,0.18,365.6,28602.9
2009M08,54.19112347,185.06693,8.26,4.75,88.599,0.15,337.4,28644.2
2009M09,54.52523147,185.63206,8.32,4.636363636,88.755,0.07,332.1,29479.1
2009M10,54.42082272,185.93036,8.35,4.5,89.082,0.11,327.5,29076.1
2009M11,54.45065379,186.3526,8.3,4.5,89.16,0.13,287.9,29651.6
2009M12,54.42380582,186.69626,8.33,4.5,89.236,0.05,324.5,31804.3
2010M01,55.1278191,188.05405,8.37,4.5,89.368,0.12,246.1,30666
2010M02,55.36646767,188.76413,8.15,4.5,89.446,0.13,274.5,29877.1
2010M03,56.00783569,189.73293,8.02,4.5,89.579,0.09,370,31747.7
2010M04,55.95115666,190.31842,8.01,4.5,89.625,0.2,344.4,30409.9
2010M05,55.89447762,190.85828,8,4.5,89.724,0.19,357,30291.6
2010M06,56.17488969,191.40466,8.01,4.5,89.767,0.09,394.3,30718.2
2010M07,56.38669029,191.99081,8.01,4.5,89.769,0.18,384.6,30981.1
2010M08,56.41055515,192.47092,8.02,4.5,89.855,0.21,377.4,30876.6
2010M09,56.57462604,193.10437,8.08,4.5,89.906,0.15,359.3,31093.4
2010M10,56.87293675,193.62047,8.06,4.5,90.043,0.2,339.4,31504.5
2010M11,57.31145349,194.11964,8,4.5,90.16,0.2,331.4,31771.5
2010M12,57.35918321,194.93187,7.98,4.5,90.179,0.13,348.4,34102.9
2011M01,57.795113,196.0497,7.96,4.5,90.372,0.17,283.3,34482.6
2011M02,58.23677871,197.18034,7.82,4.5,90.53,0.16,304.6,33660.9
2011M03,58.74153952,198.18808,7.71,4.5,90.667,0.1,384.1,34081.4
2011M04,59.17746931,199.3289,7.63,4.75,90.875,0.09,371.3,34967.4
2011M05,59.47000115,200.17993,7.65,4.75,91.091,0.1,415.3,32985.6
2011M06,59.78547665,200.9548,7.79,4.75,91.191,0.07,416.4,34528.7
2011M07,60.35333257,201.90738,7.76,4.75,91.326,0.11,349.8,33633.9
2011M08,60.71469542,202.86002,7.83,5,91.508,0.08,409.6,34352.2
2011M09,60.67454399,203.57285,7.85,5,91.57,0.06,364.8,33053.5
2011M10,60.65160032,204.37665,7.85,5.5,91.614,0.09,356.8,33116.2
2011M11,60.78352644,205.0595,7.81,5.5,91.808,0.1,343.5,34921.2
2011M12,60.91545256,205.70279,7.8,5.5,91.96,0.04,378.5,37403.8
2012M01,60.97281175,206.49031,7.81,5.5,92.235,0.11,305.1,35510
2012M02,61.27681542,207.34695,7.78,5.5,92.364,0.1,350.4,36121.1
2012M03,61.47757256,208.3483,7.73,5.5,92.521,0.09,402.1,36458.1
2012M04,61.70700929,208.9951,7.74,5.5,92.661,0.16,419,35850
2012M05,61.78731215,209.7939,7.78,5.5,92.755,0.16,451.6,34619.5
2012M06,61.86187909,210.71082,7.85,5.5,92.85,0.09,432.7,36084
2012M07,62.07984398,211.50533,7.82,5,92.946,0.13,422.1,36289.5
2012M08,62.36090398,212.56046,7.88,5,93.005,0.13,441.4,35213.2
2012M09,62.66490765,213.39328,7.98,5,93.119,0.09,365.8,35382.3
2012M10,62.68211541,214.16135,7.88,5,93.345,0.18,415.4,37252.7
2012M11,62.67637949,214.92952,7.87,5,93.445,0.16,368,37733.3
2012M12,63.01479867,215.77321,7.89,5,93.514,0.09,409.2,41145.9
2013M01,63.32453826,216.75844,7.89,5,93.703,0.15,357.9,38366.9
2013M02,63.84077091,217.91864,7.83,5,93.805,0.14,351.2,37723.1
2013M03,64.14477458,218.64848,7.81,5,93.891,0.09,424.1,41336.9
2013M04,64.25375703,219.38705,7.8,5.25,93.937,0.14,451.2,39897.5
2013M05,64.42583458,220.00366,7.79,5.25,94.047,0.09,477,39256.7
2013M06,64.82734886,220.79778,7.82,5.25,94.209,0.07,417.2,39528.2
2013M07,65.02237008,221.33675,7.82,5.25,94.329,0.09,445.8,40042
2013M08,65.11414477,221.71179,7.89,5.25,94.431,0.07,456.3,39658.8
2013M09,65.30343008,222.1641,7.94,5.25,94.543,0.06,420.7,38346.2
2013M10,65.28622232,222.77415,7.96,5,94.703,0.07,480,40460.8
2013M11,65.57875416,223.42723,7.9,5,94.86,0.07,376.6,39529.1
2013M12,65.7795113,223.88231,7.86,5,94.961,0.07,447.3,43059.9
2014M01,65.94585293,224.41685,7.85,5,95.064,0.07,394.2,38354.6
2014M02,66.07777905,224.98653,7.76,5,95.109,0.06,383.9,39039.9
2014M03,66.22691293,225.81155,7.73,5,95.25,0.06,459.2,40168.5
2014M04,66.35310313,226.35652,7.75,4.75,95.413,0.09,490.7,41299.5
2014M05,66.50223701,226.94234,7.73,4.75,95.574,0.08,494.1,40691
2014M06,66.85786394,227.48311,7.8,4.75,95.682,0.09,481.9,40200.2
2014M07,67.24217047,228.02908,7.77,4.5,95.848,0.08,509.7,41514.1
2014M08,67.52323047,228.50769,7.81,4.5,95.885,0.07,476.8,41485.8
2014M09,67.55764598,228.94087,7.72,4.5,96.013,0.07,458.8,41265.7
2014M10,67.66089251,229.46068,7.65,4.5,96.096,0.07,500.5,40472.3
2014M11,67.79281863,229.93535,7.62,4.5,96.181,0.08,398.3,42133.5
2014M12,67.71825169,230.3426,7.62,4,96.249,0.06,496,46802.4
2015M01,67.47734312,230.7518,7.64,4,96.214,0.06,407.4,44249.6
2015M02,67.6895721,231.43355,7.65,4,96.324,0.06,432,43064.7
2015M03,67.83297006,232.01505,7.63,3.5,96.47,0.06,556.5,47300.2
2015M04,68.06240679,232.53162,7.69,3.5,96.648,0.08,503.8,46207.1
2015M05,68.20006883,233.11584,7.69,3.5,96.766,0.08,519,45971.8
2015M06,68.45244924,233.81508,7.65,3.5,96.882,0.08,536.3,48599.7
2015M07,68.80234025,234.38756,7.65,3.25,96.978,0.08,573.7,46120.1
2015M08,68.8482276,234.9334,7.6466439,3.25,97.056,0.08,527.3,47103.4
2015M09,68.82528393,235.35757,7.693564,3.25,97.196,0.07,538.4,47910.9
2015M10,69.16943903,235.96292,7.6838558,3,97.228,0.07,583.8,47918.6
2015M11,69.49638637,236.43161,7.6476243,3,97.332,0.08,508.7,47891.9
2015M12,69.79465412,236.91228,7.6134794,3,97.396,0.2,598.1,51693.5
2016M01,70.43134106,237.45692,7.6486055,3,97.567,0.29,482,49819.3
2016M02,70.58047493,237.97002,7.6620255,3,97.736,0.29,558,48853.2
2016M03,70.72387289,238.50305,7.71716,3,97.876,0.25,623,49067.2
2016M04,70.84432718,238.96234,7.730261,3,98.117,0.3,609.3,50415.7
2016M05,71.17127452,239.52136,7.6558171,3,98.284,0.29,625.3,50834.6
2016M06,71.48675003,240.02773,7.6428823,3,98.386,0.3,614.7,51771
2016M07,71.980039,240.5624,7.6041729,3,98.529,0.3,536.1,51017.7
2016M08,72.11196513,241.03293,7.5345329,3,98.703,0.3,619.2,52396.8
2016M09,71.96283125,241.35876,7.525949,3,98.834,0.29,607.7,51171.6
2016M10,72.46185614,242.08604,7.498369,3,98.961,0.31,605.9,50417
2016M11,72.74291614,242.59264,7.5043293,3,99.005,0.31,600.3,53445
2016M12,72.74865206,243.08667,7.5043384,3,99.12,0.55,678.4,59057.1
2017M01,73.12722267,243.85248,7.5221361,3,99.385,0.56,587.6,55621.7
2017M02,73.37386716,244.3916,7.4110761,3,99.561,0.57,613.9,55729.3
2017M03,73.55168062,244.87363,7.3594987,3,99.519,0.82,739.8,54805
2017M04,73.74096593,245.22453,7.3374707,3,99.723,0.83,639.9,56456.2
2017M05,73.97040266,245.66095,7.3393853,3,99.803,0.83,747.4,57089.1
2017M06,74.6070896,246.0228,7.3438163,3,99.937,1.06,723.7,57862.1
2017M07,75.7370655,246.4356,7.3063223,3,100.01,1.07,664.2,57473.2
2017M08,75.51336469,246.74843,7.2751926,3,100.118,1.07,707.8,56764.8
2017M09,75.10037857,247.11717,7.301883,3,100.24,1.06,672.9,57807.4
2017M10,75.50762877,247.77238,7.34362,3,100.486,1.07,728.3,57389.9
2017M11,76.15578754,248.36548,7.3326737,2.75,100.535,1.07,646.3,57635.5
2017M12,76.87851325,248.76115,7.34079,2.75,100.683,1.33,720.3,66340.9
2018M01,76.57450958,249.2863,7.3434816,2.75,101.007,1.34,634.6,61298.6
2018M02,76.41963978,249.87004,7.3595971,2.75,101.198,1.35,630.1,61038.6
2018M03,76.59745325,250.37573,7.3929145,2.75,101.419,1.67,754.5,62307.2
2018M04,76.63186876,250.8663,7.4025997,2.75,101.602,1.69,769.9,59953
2018M05,76.99323162,251.34024,7.4403045,2.75,101.78,1.7,808.5,60515.8
2018M06,77.43489733,252.07639,7.4852697,2.75,101.872,1.91,801.4,61351
2018M07,77.71022141,252.7962,7.4847032,2.75,102.006,1.91,818.3,59191.7
2018M08,78.05437651,253.251,7.5007032,2.75,102.016,1.91,860.4,61259.8
2018M09,78.51898589,253.73604,7.6543513,2.75,102.205,2.18,746,62211.9
2018M10,78.78283813,254.20473,7.7242745,2.75,102.366,2.2,863.5,63698.3
2018M11,78.5534014,254.64865,7.700699,2.75,102.556,2.2,757.1,60165.7
2018M12,78.65664793,255.04651,7.7300006,2.75,102.735,2.4,843.3,71162.9
2019M01,79.71779282,255.3452,7.7291497,2.75,102.878,2.4,688.1,64541.4
2019M02,79.82677527,255.82234,7.7378282,2.75,102.959,2.4,690.5,66170.4
2019M03,79.79235976,256.5221,7.6904784,2.75,103.049,2.43,826.7,66111.7
2019M04,80.2741769,257.04004,7.6443057,2.75,103.274,2.45,865.2,66671
2019M05,80.48640587,257.54004,7.6676303,2.75,103.381,2.4,974.5,67160.8
2019M06,81.1517724,258.11246,7.7049923,2.75,103.586,2.4,882,67693
2019M07,81.10588505,258.566,7.6759094,2.75,103.706,2.4,947.8,70927.9
2019M08,80.40610302,258.94373,7.6708213,2.75,103.811,2.13,980.6,67986.1
2019M09,79.93575771,259.24808,7.7059323,2.75,103.889,1.9,892.3,68798.4
2019M10,80.49214179,259.76038,7.7629565,2.75,104.048,1.58,1000,72012.3
2019M11,80.84776873,260.28873,7.7043587,2.75,104.066,1.56,819.9,70550.5
2019M12,81.33532179,260.68234,7.6886061,2.75,104.279,1.55,940.8,79227.7
2020M01,81.14030056,261.20575,7.695609,2.75,104.475,1.59,834.6,73917.8
2020M02,80.81335322,261.53244,7.6485769,2.75,104.664,1.58,808,71188.5
2020M03,81.20339566,261.95306,7.6864487,2.75,104.586,0.08,746.8,77094.6
2020M04,81.78272341,262.2999,7.7073397,2,104.237,0.05,690.8,80776
2020M05,81.93759321,262.75385,7.6986471,2,104.364,0.05,836.8,75951.6
2020M06,83.09051279,263.1521,7.6974263,2,104.527,0.08,963.3,80282
2020M07,83.44040381,263.59793,7.6959661,1.75,104.913,0.1,1078.7,81218.1
2020M08,83.77308707,264.12857,7.7051858,1.75,105.229,0.09,1050.2,81449
2020M09,83.90501319,264.6936,7.7572043,1.75,105.39,0.09,1051.3,89160.1
2020M10,84.79408053,265.20932,7.7813568,1.75,105.47,0.09,1133,83439.7
2020M11,85.26442583,265.91083,7.7888773,1.75,105.552,0.09,983.4,87414.1
2020M12,85.25868992,266.4373,7.8012187,1.75,105.899,0.09,1163.6,103290.9
2021M01,85.39061604,267.1794,7.7900687,1.75,106.267,0.07,906.8,89494.3
2021M02,85.6602042,267.9838,7.7453618,1.75,106.499,0.07,942.9,90349.1
2021M03,85.94700011,268.77374,7.7203284,1.75,106.945,0.06,1285.6,94751
2021M04,86.03877481,269.25925,7.7165793,1.75,107.594,0.05,1231.7,88436.9
2021M05,86.17643685,269.81766,7.714919,1.75,108.167,0.05,1236.7,92573
2021M06,86.33704256,270.21036,7.738516,1.75,108.655,0.08,1362.5,96933.4
2021M07,86.62383848,270.7614,7.7450884,1.75,109.12,0.07,1354.3,91820.6
2021M08,86.80165194,271.69244,7.7383852,1.75,109.458,0.06,1388.6,94032.5
2021M09,86.98520133,272.42554,7.7318637,1.75,109.684,0.06,1299.3,97101.3
2021M10,87.30067684,273.45193,7.7314761,1.75,110.217,0.07,1418.5,94072
2021M11,87.72513479,274.89346,7.7313693,1.75,110.778,0.07,1356.6,98682.9
2021M12,87.87426867,276.28043,7.7254142,1.75,111.446,0.07,1512.2,115502
2022M01,87.83985316,277.57224,7.7028529,1.75,111.973,0.08,1180.7,100684.7
2022M02,88.21268785,279.22366,7.6984914,1.75,112.436,0.08,1262.7,101629.9
2022M03,89.53194907,281.97223,7.6941155,1.75,112.88,0.33,1493.1,104923.6
2022M04,90.0137662,284.13666,7.662973,1.75,113.248,0.33,1516.1,102797.6
2022M05,91.18962946,286.22232,7.6698552,2,113.656,0.83,1592.5,104774.2
2022M06,92.85878169,288.94116,7.7350683,2.25,114.297,1.58,1666.2,109689.6
2022M07,93.8625674,291.07785,7.7394758,2.25,114.534,2.32,1370,107460
2022M08,94.50499025,293.5186,7.7313045,2.75,115.158,2.33,1642.7,106733.1
2022M09,94.84340943,295.51065,7.800417,3,115.686,3.08,1597.2,108051.8
2022M10,95.7726282,297.86893,7.8651835,3,116.087,3.08,1622.4,110250.2
2022M11,95.76689228,299.3531,7.813936,3.75,116.417,3.83,1455,109734.1
2022M12,95.99059309,300.81976,7.8681135,3.75,116.868,4.33,1641.6,123637.4
2023M01,96.35195595,302.04633,7.8489677,4.25,117.461,4.33,1386.5,114951.6
2023M02,96.96569921,303.7829,7.8316504,4.5,117.883,4.57,1381.1,116728.5
2023M03,97.33279798,305.11737,7.8049771,4.5,118.279,4.83,1665.8,115186.2
2023M04,97.49913961,306.40997,7.7993173,4.75,118.642,4.83,1551.4,116282.8
2023M05,97.14924859,307.2289,7.8092606,5,118.984,5.08,1811.9,118147.1
2023M06,97.43604451,308.29538,7.838318,5,119.189,5.08,1861.3,123534.4
2023M07,98.11861879,309.59036,7.8498832,5,119.332,5.33,1642.9,121135.1
2023M08,98.73236205,311.11035,7.8596623,5,119.449,5.33,1773.4,120568.2
2023M09,99.28874613,312.30222,7.8674573,5,119.842,5.33,1699.5,117599.6
2023M10,100.5449122,314.21646,7.8427152,5,120.015,5.33,1650.7,120456.8
2023M11,99.88528163,314.8882,7.827379,5,120.122,5.33,1614.6,125431
2023M12,100,315.45923,7.8241616,5,120.305,5.33,1765,136254.9
2024M01,100.03,315.6864,7.8184803,5,120.913,5.33,1468,128128.3
2024M02,100.17,316.40076,7.810869,5,121.224,5.33,1527.9,127512
2024M03,100.48,316.89395,7.803171613,5,,5.33,1686.6,133422.4
