,CPI,CPIXFE,S,RS,CPI_RW,RS_RW,REM,MB
Comments ->,Indice de Precios al Consumidor,Indice de Inflación Subyacente,Tipo de Cambio Nominal,Tasa de interes de Política Monetaria,Indice de Precios PCE Subyacente,Tasa de Fondos Federales,Remesas (Millones de Dólares),Base Monetaria
2001M01,30.23975661,101.506546,7.8,5.72,75.796,5.74,,11611.1
2001M02,30.46050654,102.51536,7.74,6.24,75.93,5.59,,11786.1
2001M03,30.62457743,103.2149,7.7,5.4,76.009,5.29,,11961.7
2001M04,30.75583414,103.7479,7.75,4.42,76.13,4.67,,11937.8
2001M05,30.84831046,104.170235,7.77,5.05,76.148,4.24,,11931.5
2001M06,31.0750266,104.86879,7.8,4.98,76.318,3.95,,11787
2001M07,31.34648934,105.542336,7.8,4.83,76.515,3.82,,12124.5
2001M08,31.73727637,106.884094,7.85,4.83,76.553,3.66,,12013.1
2001M09,31.83870201,107.62554,7.95,4.63,76.118,2.75,,12219
2001M10,32.07735059,108.54338,8.11,4.47,76.654,2.66,,12637.23
2001M11,32.30108361,109.319534,8.08,4.93,76.81,2.06,,12399.4
2001M12,32.48901936,110.10112,7.96,4.52,76.828,1.52,,13953.2
2002M01,32.91560368,112.206764,8.02,4.53,76.871,1.85,83.2,13770.7
2002M02,33.20496506,113.49183,7.94,4.23,77.018,1.83,96.7,13179
2002M03,33.41974877,114.240265,7.91,5.25,77.11,1.74,109,14023.24
2002M04,33.60171831,114.854225,7.82,4.56,77.325,1.82,139.2,13901.77
2002M05,33.72104259,115.28049,7.87,4.31,77.411,1.79,89.8,13589.6
2002M06,33.91494455,115.83188,7.9,4.39,77.534,1.73,128,13167.8
2002M07,34.19833973,116.34473,7.86,4.11,77.692,1.76,136.5,13659.7
2002M08,34.1893904,116.81386,7.77,4.91,77.845,1.81,162.3,13737.9
2002M09,34.0998972,117.20012,7.78,4.45,77.972,1.85,157.3,12812.8
2002M10,34.19535662,117.64063,7.73,4.47,78.038,1.82,176.3,13456
2002M11,34.35047819,118.15416,7.61,5.4,78.114,1.23,143,15180.7
2002M12,34.54438015,118.66802,7.65,2.22,78.187,1.16,158.2,16280.5
2003M01,34.95604893,120.11754,7.8,1.03,78.24,1.33,164.8,14268.8
2003M02,35.1976806,121.03955,7.83,4.13,78.348,1.33,144.7,15660.8
2003M03,35.34981907,121.58003,7.91,1.41,78.474,1.38,160.8,14693.8
2003M04,35.50792374,122.17096,7.91,0.87,78.561,1.31,181.1,16111.7
2003M05,35.59741696,122.67965,7.9,0.82,78.674,1.28,187.4,14891.1
2003M06,35.69287638,123.2134,7.92,1.1,78.718,1.45,161.5,14870.4
2003M07,35.78833581,123.66341,7.92,1.48,78.915,1.04,192,15757.7
2003M08,35.88677834,124.02862,7.92,1.4,79.004,1.01,178.9,15166.9
2003M09,36.0359337,124.43507,7.98,1.45,79.114,1.17,176.6,14490.6
2003M10,36.19105527,124.82058,8.1,1.71,79.26,1.03,189.9,16063.3
2003M11,36.35512616,125.213036,8.08,1.96,79.368,1.01,173.4,15710.8
2003M12,36.56692676,125.74182,8.03,1.83,79.467,0.94,195.6,17038.4
2004M01,37.12775089,127.41776,8.11,1.83,79.671,1.03,194.7,15991.3
2004M02,37.40219675,128.29037,8.1,1.94,79.8,1.04,183.7,16172.9
2004M03,37.67067639,128.95015,8.1,1.86,79.934,1.05,227.9,16658.2
2004M04,37.87054456,129.45174,8.05,1.92,80.142,1.03,204,16529.9
2004M05,38.1837708,130.15378,7.98,2.1,80.252,1.02,210.8,16224.5
2004M06,38.33590926,130.80048,7.94,2.26,80.379,1.38,212.1,16125.6
2004M07,38.52086191,131.3042,7.9,2.72,80.474,1.29,206.6,15865.1
2004M08,38.63421998,132.02621,7.91,2.41,80.505,1.55,212.8,16762.5
2004M09,38.93551379,132.78171,7.9,2.08,80.656,1.94,211.8,16607.8
2004M10,39.3173515,133.56117,7.83,2.07,80.831,1.79,218,16933
2004M11,39.70813853,134.44328,7.77,2.43,81.005,2.02,236.7,16708
2004M12,39.94082088,135.17592,7.78,2.68,81.109,1.97,231.4,19074.2
2005M01,40.48374637,137.2624,7.76,2.55,81.401,2.5,209.5,17135.4
2005M02,40.78205708,138.36516,7.72,2.61,81.536,2.52,203.8,18069.3
2005M03,40.97297594,139.00891,7.62,2.75,81.737,2.96,246.5,18437
2005M04,41.23250625,139.54875,7.61,2.75,81.831,2.97,253.1,18430.1
2005M05,41.43834064,140.31145,7.59,2.829545455,81.999,3.09,274.3,18461.7
2005M06,41.70980339,141.02637,7.61,3,82.056,3.35,261.1,18232.2
