"Variables ->","m_L_GDP","m_L_S","m_L_CPI","m_RS","m_L_CPIXFE","m_L_CPI_RW","m_RS_RW","m_L_GDP_RW_GAP","m_REM_GDP","m_L_MB"
"2021Q2",1182.10907,204.62099,445.82587,1.75000,559.92008,491.58457,0.08000,0.34099,17.20362,1148.17794
"2021Q3",1183.24856,204.53499,446.57380,1.75000,560.73653,492.46608,0.06000,0.57233,17.96847,1148.35100
"2021Q4",1184.18305,204.45154,447.59070,1.75000,562.14164,493.95647,0.07000,1.66721,18.73191,1165.70431
"2022Q1",1185.26628,204.04558,449.45955,1.75000,564.18086,501.65325,0.33000,0.57453,18.84716,1156.09877
"2022Q2",1186.77367,204.57643,453.10799,2.25000,566.62231,504.17516,1.58000,-0.16587,19.27035,1160.54098
"2022Q3",1186.99376,205.41772,455.22272,3.00000,568.87049,499.61567,3.08000,-0.11329,18.70919,1159.03660
"2022Q4",1187.70096,206.28183,456.42502,3.75000,570.65113,497.64317,4.33000,-0.08804,18.93616,1172.51084
"2023Q1",1189.13336,205.47616,457.81360,4.50000,572.06965,496.88234,4.83000,-0.14505,19.16420,1165.43052
"2023Q2",1190.79487,205.90243,457.91962,5.00000,573.10583,495.59334,5.08000,-0.25008,19.08335,1172.42749
"2023Q3",1190.87417,206.27349,459.80322,5.00000,574.39714,497.02507,5.33000,0.31963,19.10011,1167.50409
"2023Q4",1189.81944,205.72166,460.51702,5.00000,575.40295,494.96550,5.33000,0.53612,18.57590,1182.22827
"2024Q1",1192.29701,205.45303,460.99096,5.00000,575.85672,496.47418,5.33000,0.26702,18.84193,1180.12753
"2024Q2",NaN,204.96366,461.47463,5.00000,576.40569,496.83741,5.33000,0.34830,NaN,1180.92503
