"Variables ->","m_L_GDP","m_L_S","m_L_CPI","m_RS","m_L_CPIXFE","m_L_CPI_RW","m_RS_RW","m_L_GDP_RW_GAP","m_REM_GDP","m_L_MB"
"Comments ->","Producto Interno Bruto real de Guatemala (desestacionalizado)","Tipo de Cambio Nominal","Indice de Precios al Consumidor","Tasa de interes de Política Monetaria","Indice de Inflación Subyacente","Indice de precios de exportaciones e importaciones","Tasa de Fondos Federales","Producto Interno Bruto de EEUU","Remesas como porcentaje del producto (desestacionalizado)","Base Monetaria"
"Class[Size] ->","tseries[94-by-1]","tseries[94-by-1]","tseries[94-by-1]","tseries[94-by-1]","tseries[94-by-1]","tseries[94-by-1]","tseries[94-by-1]","tseries[94-by-1]","tseries[94-by-1]","tseries[94-by-1]"
".endhist","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2"
"2001Q1",1112.48592,204.12203,342.18029,5.40000,463.68132,459.53266,5.29000,1.05144,NaN,938.94652
"2001Q2",1112.46244,205.41237,343.64045,4.98000,465.27099,458.87895,3.95000,0.96774,NaN,937.47525
"2001Q3",1112.62284,207.31719,346.06826,4.63000,467.86580,457.71007,2.75000,-0.14062,NaN,941.07474
"2001Q4",1116.14769,207.44290,348.09022,4.52000,470.13992,454.40804,1.52000,-0.57505,NaN,954.34642
"2002Q1",1115.47622,206.81278,350.91470,5.25000,473.83038,455.24575,1.74000,-0.45410,5.76943,954.84712
"2002Q2",1117.37929,206.68628,352.38558,4.39000,475.21398,456.18788,1.73000,-0.55910,6.54071,948.55297
"2002Q3",1118.47964,205.15563,352.92944,4.45000,476.38829,457.38092,1.85000,-0.87369,7.93546,945.82000
"2002Q4",1119.13995,203.47056,354.22449,2.22000,477.63298,457.11478,1.16000,-1.47505,8.31006,969.77234
"2003Q1",1119.98338,206.81278,356.52933,1.41000,480.05727,459.87044,1.38000,-1.67895,8.61561,959.51809
"2003Q2",1119.64474,206.93912,357.49511,1.10000,481.39178,458.07708,1.45000,-1.52934,9.08187,960.71279
"2003Q3",1120.67350,207.69384,358.45166,1.45000,482.37841,458.19941,1.17000,-0.61258,9.26023,958.12554
"2003Q4",1120.48810,208.31845,359.91442,1.83000,483.42308,459.38155,0.94000,-0.18863,9.64669,974.32249
"2004Q1",1121.67499,209.18641,362.88820,1.86000,485.94259,461.85056,1.05000,-0.34734,10.87023,972.06579
"2004Q2",1122.29318,207.19133,364.63870,2.26000,487.36731,462.87047,1.38000,-0.28902,9.88409,968.81634
"2004Q3",1123.50691,206.68628,366.19068,2.08000,488.87065,464.42165,1.94000,-0.04440,9.85673,971.76277
"2004Q4",1124.97943,205.15563,368.73989,2.68000,490.65770,464.73695,1.97000,0.28947,10.18867,985.60919
"2005Q1",1125.09605,203.07764,371.29127,2.75000,493.45380,467.52449,2.96000,0.73409,10.32054,982.21148
"2005Q2",1127.01572,202.94632,373.07362,3.00000,494.89469,468.41965,3.35000,0.59345,10.58383,981.09445
"2005Q3",1125.84510,203.07764,375.21754,3.61364,496.18176,471.59832,3.93000,0.77231,10.21773,982.70654
"2005Q4",1126.52988,202.94632,376.95937,4.11364,498.03388,470.55193,4.09000,0.75776,11.22415,995.90405
"2006Q1",1130.13536,203.07764,378.31910,4.25000,500.29605,471.19639,5.00000,1.56174,11.43247,995.75448
"2006Q2",1129.73028,202.94632,380.35457,4.57955,501.54707,474.61453,5.05000,1.32606,11.79869,999.53372
"2006Q3",1132.24823,202.94632,380.75939,5.00000,502.51913,474.18515,5.34000,1.02142,11.51090,999.18006
"2006Q4",1133.92685,202.81482,382.59033,5.00000,503.69733,473.79704,5.17000,1.46277,11.46687,1014.79111
"2007Q1",1136.51413,203.99208,385.10748,5.02273,506.09544,474.91640,5.30000,1.38861,11.54642,1014.62494
"2007Q2",1136.62429,203.86195,385.53144,5.50000,507.25332,477.59816,5.31000,1.66272,11.95418,1017.24607
"2007Q3",1137.94024,204.12203,387.83470,5.52500,508.90135,478.79842,4.58000,1.93809,11.89932,1018.00771
"2007Q4",1138.46841,203.20878,390.97504,6.28571,510.89685,482.48127,3.06000,2.29914,11.79119,1025.54780
"2008Q1",1139.75530,203.33976,393.81654,6.53571,514.06565,486.82977,2.51000,1.63579,11.32690,1018.80949
"2008Q2",1142.10142,201.35688,398.24479,6.75000,516.61194,493.19567,2.47000,2.01767,10.84669,1018.91062
"2008Q3",1141.02950,200.95554,399.83352,7.25000,518.63879,489.16453,2.03000,1.29645,10.59487,1020.51391
"2008Q4",1141.10323,204.25182,399.95932,7.25000,520.00226,474.46549,0.14000,-1.10221,10.28297,1026.25561
"2009Q1",1139.93843,208.93919,398.69418,6.45455,520.95840,473.87285,0.16000,-2.42839,10.83854,1021.31427
"2009Q2",1141.02773,209.55609,398.86011,5.54545,521.58899,478.08520,0.22000,-2.79957,10.23330,1026.47012
"2009Q3",1142.41128,211.86623,399.86636,4.63636,522.37665,478.81526,0.07000,-2.65549,10.36766,1029.14368
"2009Q4",1143.10979,211.98635,399.68017,4.50000,522.94830,480.96158,0.05000,-1.80577,10.18029,1036.73568
"2010Q1",1143.17918,208.19384,402.54916,4.50000,524.56175,482.35911,0.09000,-1.56990,9.80161,1036.55756
"2010Q2",1144.01486,208.06908,402.84699,4.50000,525.43898,482.08650,0.09000,-0.87847,9.94524,1033.26106
"2010Q3",1144.16289,208.93919,403.55606,4.50000,526.32308,482.79717,0.15000,-0.40695,10.19852,1034.47509
"2010Q4",1146.25732,207.69384,404.93330,4.50000,527.26501,486.52385,0.13000,-0.20539,9.72521,1043.71377
"2011Q1",1147.22135,204.25182,407.31471,4.50000,528.92165,491.87075,0.10000,-0.79085,9.39629,1043.65071
"2011Q2",1148.33897,205.28409,409.07628,4.75000,530.30800,493.65610,0.07000,-0.49041,9.51334,1044.95461
"2011Q3",1149.72459,206.05135,410.55242,5.00000,531.60239,493.60050,0.06000,-0.91210,8.96536,1040.58827
"2011Q4",1149.83524,205.41237,410.94869,5.50000,532.64324,492.90135,0.04000,-0.21948,9.14409,1052.95276
"2012Q1",1150.99250,204.51089,411.86724,5.50000,533.92112,494.35064,0.09000,0.16793,9.47796,1050.39189
"2012Q2",1150.98193,206.05135,412.49041,5.50000,535.04867,491.24868,0.09000,0.14347,9.79023,1049.36048
"2012Q3",1152.10824,207.69384,413.78016,5.00000,536.31368,492.97166,0.09000,-0.20322,9.65892,1047.39670
"2012Q4",1153.43516,206.55961,414.33696,5.00000,537.42279,492.13864,0.09000,-0.59785,9.64018,1062.48796
"2013Q1",1153.87657,205.54050,416.11426,5.00000,538.74653,493.18607,0.09000,-0.14458,9.54433,1062.95108
"2013Q2",1155.29759,205.66846,417.17276,5.25000,539.72473,491.71061,0.07000,-0.42230,9.44599,1058.47696
"2013Q3",1155.76190,207.19133,417.90446,5.25000,540.34163,492.08602,0.06000,-0.13423,9.77706,1055.44107
"2013Q4",1156.29725,206.17866,418.63084,5.00000,541.11205,491.08686,0.07000,0.16136,9.84826,1067.03474
"2014Q1",1157.97235,204.51089,419.30869,5.00000,541.97008,493.00350,0.06000,-0.76722,9.61262,1060.08384
"2014Q2",1159.51405,205.41237,420.25689,4.75000,542.70760,492.40989,0.09000,-0.07498,9.69670,1060.16272
"2014Q3",1159.89208,204.38144,421.29812,4.50000,543.34638,490.89336,0.07000,0.53584,9.60199,1062.77869
"2014Q4",1161.22143,203.07764,421.53557,4.00000,543.95678,486.27234,0.06000,0.43971,9.41279,1075.36898
"2015Q1",1162.56125,203.20878,421.70484,3.50000,544.68022,483.25986,0.06000,0.73449,9.76556,1076.42698
"2015Q2",1162.56537,203.47056,422.61393,3.50000,545.45305,483.70124,0.08000,0.75118,9.61498,1079.13726
"2015Q3",1164.65458,204.03841,423.15712,3.25000,546.11059,480.44353,0.07000,0.55222,10.26463,1077.70983
"2015Q4",1164.85642,202.99203,424.55574,3.00000,546.76899,478.31881,0.20000,0.14155,10.77050,1085.30873
"2016Q1",1164.22589,204.34464,425.87832,3.00000,547.43821,476.93947,0.25000,0.12854,11.09216,1080.09461
"2016Q2",1166.25785,203.37748,426.95121,3.00000,548.07545,479.39275,0.30000,-0.13697,10.83516,1085.45854
"2016Q3",1166.64668,201.83569,427.61498,3.00000,548.62845,479.21656,0.29000,-0.01094,10.36414,1084.29400
"2016Q4",1168.00683,201.54813,428.70104,3.00000,549.34180,479.97988,0.55000,-0.03316,11.05626,1098.62601
"2017Q1",1168.86567,199.59918,429.79883,3.00000,550.07423,480.68473,0.82000,-0.11593,11.62493,1091.15367
"2017Q2",1168.83405,199.38586,431.22355,3.00000,550.54242,480.47614,1.06000,-0.11897,11.47889,1096.58179
"2017Q3",1169.68753,198.81323,431.88256,3.00000,550.98626,481.94748,1.06000,0.11296,11.12910,1096.48721
"2017Q4",1169.85108,199.34465,434.22264,2.75000,551.64932,482.97660,1.33000,0.68884,11.38487,1110.25619
"2018Q1",1171.59566,200.05220,433.85638,2.75000,552.29627,483.96188,1.67000,0.96346,11.83270,1103.98323
"2018Q2",1173.19808,201.29370,434.94375,2.75000,552.97322,485.29832,1.91000,0.96701,12.52876,1102.43667
"2018Q3",1173.07820,203.52743,436.33405,2.75000,553.62945,484.84760,2.18000,1.07223,13.11177,1103.83016
"2018Q4",1172.76258,204.51089,436.50922,2.75000,554.14459,482.86659,2.40000,0.70564,13.36780,1117.27269
"2019Q1",1175.34577,203.99830,437.94278,2.75000,554.72148,484.22121,2.43000,0.74595,12.89237,1109.91010
"2019Q2",1177.11195,204.18685,439.63211,2.75000,555.33954,483.42966,2.40000,1.07566,13.66848,1112.27381
"2019Q3",1176.97995,204.19905,438.12233,2.75000,555.77854,482.86114,1.90000,1.70722,14.09180,1113.89358
"2019Q4",1176.98762,203.97395,439.85804,2.75000,556.33026,482.83137,1.55000,1.85136,13.62653,1128.00813
"2020Q1",1176.23398,203.94589,439.69571,2.75000,556.81653,480.19156,0.08000,-0.02113,13.52682,1125.27885
"2020Q2",1167.53545,204.08860,441.99305,2.00000,557.27322,479.16060,0.08000,-8.75168,13.26096,1129.33007
"2020Q3",1175.46271,204.86220,442.96854,1.75000,557.85729,481.37456,0.09000,-1.80542,15.73651,1139.81889
"2020Q4",1179.44566,205.42800,444.56900,1.75000,558.51389,482.75831,0.09000,-1.31799,15.76144,1154.53046
"2021Q1",1180.65413,204.38569,445.37308,1.75000,559.38699,487.82434,0.06000,-0.59772,16.61487,1145.90077
