"Variables ->","m_L_GDP","m_L_S","m_L_CPI","m_RS","m_L_CPIXFE","m_L_CPI_RW","m_RS_RW","m_L_GDP_RW_GAP","m_REM_GDP","m_L_MB"
"2013Q2",1155.29595,205.66846,417.17276,5.25000,539.72473,454.55157,0.07000,-0.42214,9.44599,1058.47696
"2013Q3",1155.76118,207.19133,417.90446,5.25000,540.34163,454.90548,0.06000,-0.13441,9.77712,1055.44107
"2013Q4",1156.29785,206.17866,418.63084,5.00000,541.11205,455.34663,0.07000,0.16075,9.84814,1067.03474
"2014Q1",1157.97604,204.51089,419.30869,5.00000,541.97008,455.65050,0.06000,-0.76833,9.61257,1060.08384
"2014Q2",1159.51166,205.41237,420.25689,4.75000,542.70760,456.10302,0.09000,-0.07670,9.69655,1060.16272
"2014Q3",1159.89156,204.38144,421.29812,4.50000,543.34638,456.44836,0.07000,0.53341,9.60240,1062.77869
"2014Q4",1161.21938,203.07764,421.53557,4.00000,543.95678,456.69386,0.06000,0.43646,9.41252,1075.36898
"2015Q1",1162.56891,203.20878,421.70484,3.50000,544.68022,456.92321,0.06000,0.73030,9.76540,1076.42698
"2015Q2",1162.56329,203.47056,422.61393,3.50000,545.45305,457.34937,0.08000,0.74594,9.61464,1079.13726
"2015Q3",1164.65481,204.03841,423.15712,3.25000,546.11059,457.67296,0.07000,0.54580,10.26541,1077.70983
"2015Q4",1164.84972,202.99203,424.55574,3.00000,546.76899,457.87851,0.20000,0.13384,10.77007,1085.30873
"2016Q1",1164.23400,204.34464,425.87832,3.00000,547.43821,458.37014,0.25000,0.11944,11.09203,1080.09461
"2016Q2",1166.25630,203.37748,426.95121,3.00000,548.07545,458.88985,0.30000,-0.14755,10.83489,1085.45854
"2016Q3",1166.64817,201.83569,427.61498,3.00000,548.62845,459.34417,0.29000,-0.02309,10.36505,1084.29400
"2016Q4",1168.00057,201.54813,428.70104,3.00000,549.34180,459.63312,0.55000,-0.04692,11.05514,1098.62601
"2017Q1",1168.86479,199.59918,429.79883,3.00000,550.07423,460.03486,0.82000,-0.13134,11.62640,1091.15367
"2017Q2",1168.83478,199.38586,431.22355,3.00000,550.54242,460.45400,1.06000,-0.13600,11.47877,1096.58179
"2017Q3",1169.69244,198.81323,431.88256,3.00000,550.98626,460.75673,1.06000,0.09438,11.12878,1096.48721
"2017Q4",1169.84850,199.34465,434.22264,2.75000,551.64932,461.19770,1.33000,0.66884,11.38335,1110.25619
"2018Q1",1171.55281,200.05220,433.85638,2.75000,552.29627,461.92605,1.67000,0.94223,11.83076,1103.98323
"2018Q2",1173.20884,201.29370,434.94375,2.75000,552.97322,462.37171,1.91000,0.94486,12.52071,1102.43667
"2018Q3",1173.09189,203.52743,436.33405,2.75000,553.62945,462.69806,2.18000,1.04953,13.10878,1103.83016
"2018Q4",1172.78254,204.51089,436.50922,2.75000,554.14459,463.21529,2.40000,0.68289,13.37975,1117.27269
"2019Q1",1175.31361,203.99830,437.94278,2.75000,554.72148,463.52046,2.43000,0.72378,12.89280,1109.91010
"2019Q2",1177.09897,204.18685,439.63211,2.75000,555.33954,464.04022,2.40000,1.05483,13.70039,1112.27381
"2019Q3",1177.01408,204.19905,438.12233,2.75000,555.77854,464.33230,1.90000,1.68865,14.07727,1113.89358
"2019Q4",1176.99052,203.97395,439.85804,2.75000,556.33026,464.70700,1.55000,1.83613,13.60904,1128.00813
"2020Q1",1176.12027,203.94589,439.69571,2.75000,556.81653,465.00097,0.08000,-0.03175,13.50422,1125.27885
"2020Q2",1167.82303,204.08860,441.99305,2.00000,557.27322,464.94454,0.08000,-8.75623,13.25009,1129.33007
"2020Q3",1175.57067,204.86220,442.96854,1.75000,557.85729,465.76678,0.09000,-1.80227,15.72728,1139.81889
"2020Q4",1179.11528,205.42800,444.56900,1.75000,558.51389,466.24858,0.09000,-1.30527,15.80538,1154.53046
"2021Q1",1180.56343,204.38569,445.37308,1.75000,559.38699,467.23147,0.06000,-0.57340,16.69197,1145.90077
"2021Q2",1182.26819,204.62099,445.82587,1.75000,559.92008,468.81777,0.08000,0.37914,17.30670,1148.17794
"2021Q3",1183.39586,204.53499,446.57380,1.75000,560.73653,469.76035,0.06000,0.62672,18.06677,1148.35100
"2021Q4",1183.76374,204.45154,447.59070,1.75000,562.14164,471.35402,0.07000,1.74038,18.77602,1165.70431
"2022Q1",1185.25531,204.04558,449.45955,1.75000,564.18086,472.63253,0.33000,0.66916,19.01456,1156.09877
"2022Q2",1186.69948,204.57643,453.10799,2.25000,566.62231,473.88003,1.58000,-0.04705,19.42849,1160.54098
"2022Q3",1187.07657,205.41772,455.22272,3.00000,568.87049,475.08796,3.08000,0.03247,18.82568,1159.03660
"2022Q4",1187.15905,206.28183,456.42502,3.75000,570.65113,476.10451,4.33000,0.08733,18.95661,1172.51084
"2023Q1",1189.06243,205.47616,457.81360,4.50000,572.06965,477.30462,4.83000,0.06247,19.42934,1165.43052
"2023Q2",1190.54896,205.90243,457.91962,5.00000,573.10583,478.07105,5.08000,-0.00815,19.32977,1172.42749
"2023Q3",NaN,206.27349,459.80322,5.00000,574.39714,478.61742,5.33000,0.59783,NaN,1167.50409
