"Variables ->","m_L_GDP","m_L_S","m_L_CPI","m_RS","m_L_CPIXFE","m_L_CPI_RW","m_RS_RW","m_L_GDP_RW_GAP","m_REM_GDP","m_L_MB"
"Comments ->","Producto Interno Bruto real de Guatemala (desestacionalizado)","Tipo de Cambio Nominal","Indice de Precios al Consumidor","Tasa de interes de Política Monetaria","Indice de Inflación Subyacente","Indice de Precios PCE Subyacente","Tasa de Fondos Federales","Producto Interno Bruto de EEUU","Remesas como porcentaje del producto (desestacionalizado)","Base Monetaria"
"Class[Size] ->","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]","tseries[91-by-1]"
".endhist","2023Q3","2023Q3","2023Q3","2023Q3","2023Q3","2023Q3","2023Q3","2023Q3","2023Q3","2023Q3"
"2001Q1",1112.48592,204.12203,342.18029,5.40000,463.68132,433.08518,5.29000,1.05144,NaN,938.94652
"2001Q2",1112.46244,205.41237,343.64045,4.98000,465.27099,433.49088,3.95000,0.96774,NaN,937.47525
"2001Q3",1112.62284,207.31719,346.06826,4.63000,467.86580,433.22848,2.75000,-0.14062,NaN,941.07474
"2001Q4",1116.14769,207.44290,348.09022,4.52000,470.13992,434.15692,1.52000,-0.57506,NaN,954.34642
"2002Q1",1115.47622,206.81278,350.91470,5.25000,473.83038,434.52330,1.74000,-0.45412,5.76943,954.84712
"2002Q2",1117.37929,206.68628,352.38558,4.39000,475.21398,435.07165,1.73000,-0.55912,6.54071,948.55297
"2002Q3",1118.47964,205.15563,352.92944,4.45000,476.38829,435.63498,1.85000,-0.87371,7.93546,945.82000
"2002Q4",1119.13995,203.47056,354.22449,2.22000,477.63298,435.91034,1.16000,-1.47508,8.31006,969.77234
"2003Q1",1119.98338,206.81278,356.52933,1.41000,480.05727,436.27674,1.38000,-1.67897,8.61561,959.51809
"2003Q2",1119.64474,206.93912,357.49511,1.10000,481.39178,436.58718,1.45000,-1.52938,9.08187,960.71279
"2003Q3",1120.67350,207.69384,358.45166,1.45000,482.37841,437.08899,1.17000,-0.61261,9.26023,958.12554
"2003Q4",1120.48810,208.31845,359.91442,1.83000,483.42308,437.53418,0.94000,-0.18867,9.64669,974.32249
"2004Q1",1121.67499,209.18641,362.88820,1.86000,485.94259,438.12013,1.05000,-0.34739,10.87023,972.06579
"2004Q2",1122.29318,207.19133,364.63870,2.26000,487.36731,438.67529,1.38000,-0.28906,9.88409,968.81634
"2004Q3",1123.50691,206.68628,366.19068,2.08000,488.87065,439.01932,1.94000,-0.04444,9.85673,971.76277
"2004Q4",1124.97943,205.15563,368.73989,2.68000,490.65770,439.57939,1.97000,0.28942,10.18867,985.60919
"2005Q1",1125.09604,203.07764,371.29127,2.75000,493.45380,440.35068,2.96000,0.73405,10.32054,982.21148
"2005Q2",1127.01572,202.94632,373.07362,3.00000,494.89469,440.74019,3.35000,0.59341,10.58383,981.09445
"2005Q3",1125.84510,203.07764,375.21754,3.61364,496.18176,441.18888,3.93000,0.77228,10.21773,982.70654
"2005Q4",1126.52988,202.94632,376.95937,4.11364,498.03388,441.83465,4.09000,0.75773,11.22415,995.90405
"2006Q1",1130.13536,203.07764,378.31910,4.25000,500.29605,442.49544,5.00000,1.56172,11.43247,995.75448
"2006Q2",1129.73028,202.94632,380.35457,4.57955,501.54707,443.30286,5.05000,1.32605,11.79869,999.53372
"2006Q3",1132.24823,202.94632,380.75939,5.00000,502.51913,443.76151,5.34000,1.02143,11.51090,999.18006
"2006Q4",1133.92685,202.81482,382.59033,5.00000,503.69733,444.12385,5.17000,1.46280,11.46687,1014.79111
"2007Q1",1136.51413,203.99208,385.10748,5.02273,506.09544,444.84462,5.30000,1.38866,11.54641,1014.62494
"2007Q2",1136.62429,203.86195,385.53144,5.50000,507.25332,445.27064,5.31000,1.66280,11.95418,1017.24607
"2007Q3",1137.94024,204.12203,387.83470,5.52500,508.90135,445.84204,4.58000,1.93820,11.89932,1018.00771
"2007Q4",1138.46841,203.20878,390.97504,6.28571,510.89685,446.49882,3.06000,2.29929,11.79118,1025.54780
"2008Q1",1139.75530,203.33976,393.81654,6.53571,514.06565,446.99116,2.51000,1.63598,11.32690,1018.80949
"2008Q2",1142.10142,201.35688,398.24479,6.75000,516.61194,447.46058,2.47000,2.01790,10.84669,1018.91062
"2008Q3",1141.02950,200.95554,399.83352,7.25000,518.63879,447.86541,2.03000,1.29673,10.59488,1020.51391
"2008Q4",1141.10323,204.25182,399.95932,7.25000,520.00226,447.63022,0.14000,-1.10187,10.28297,1026.25561
"2009Q1",1139.93842,208.93919,398.69418,6.45455,520.95840,447.75073,0.16000,-2.42799,10.83853,1021.31427
"2009Q2",1141.02773,209.55609,398.86011,5.54545,521.58899,448.17815,0.22000,-2.79911,10.23331,1026.47012
"2009Q3",1142.41128,211.86623,399.86636,4.63636,522.37665,448.58798,0.07000,-2.65496,10.36766,1029.14368
"2009Q4",1143.10981,211.98635,399.68017,4.50000,522.94830,449.12845,0.05000,-1.80517,10.18029,1036.73568
"2010Q1",1143.17920,208.19384,402.54916,4.50000,524.56175,449.51209,0.09000,-1.56922,9.80160,1036.55756
"2010Q2",1144.01478,208.06908,402.84699,4.50000,525.43898,449.72174,0.09000,-0.87773,9.94525,1033.26106
"2010Q3",1144.16288,208.93919,403.55606,4.50000,526.32308,449.87647,0.15000,-0.40614,10.19851,1034.47509
"2010Q4",1146.25741,207.69384,404.93330,4.50000,527.26501,450.17966,0.13000,-0.20452,9.72521,1043.71377
"2011Q1",1147.22143,204.25182,407.31471,4.50000,528.92165,450.71935,0.10000,-0.78993,9.39628,1043.65071
"2011Q2",1148.33875,205.28409,409.07628,4.75000,530.30800,451.29562,0.07000,-0.48946,9.51336,1044.95461
"2011Q3",1149.72445,206.05135,410.55242,5.00000,531.60239,451.71037,0.06000,-0.91112,8.96535,1040.58827
"2011Q4",1149.83553,205.41237,410.94869,5.50000,532.64324,452.13537,0.04000,-0.21850,9.14409,1052.95276
"2012Q1",1150.99296,204.51089,411.86724,5.50000,533.92112,452.74356,0.09000,0.16888,9.47795,1050.39189
"2012Q2",1150.98108,206.05135,412.49041,5.50000,535.04867,453.09853,0.09000,0.14435,9.79026,1049.36048
"2012Q3",1152.10814,207.69384,413.78016,5.00000,536.31368,453.38782,0.09000,-0.20244,9.65890,1047.39670
"2012Q4",1153.43525,206.55961,414.33696,5.00000,537.42279,453.81112,0.09000,-0.59722,9.64016,1062.48796
"2013Q1",1153.87774,205.54050,416.11426,5.00000,538.74653,454.21345,0.09000,-0.14416,9.54437,1062.95108
